,College Name,New_name
0, D.P. B.S. Degree college Anoopshahr, D.P. B.S. Degree college Anoopshahr
1, sanda College, sanda College
2,100 LEADS INSTITUTE OF TECHNOLOGY & ENGINEERING MATAR, LEADS INSTITUTE OF TECHNOLOGY  ENGINEERING MATAR
3,101 IPCOWALA INSTITUTE OF ENGINEERING & TECHNOLOGY DHARMAJ, IPCOWALA INSTITUTE OF ENGINEERING  TECHNOLOGY DHARMAJ
4,102 OM ENGINEERING COLLEGE CHOKLI, OM ENGINEERING COLLEGE CHOKLI
5,103 OM INSTITUTE OF TECHNOLOGY VANTAVACHHODA, OM INSTITUTE OF TECHNOLOGY VANTAVACHHODA
6,107 SHRI J M SABVA INSTITUTE OF ENGINEERING & TECHNOLOGY, SHRI J M SABVA INSTITUTE OF ENGINEERING  TECHNOLOGY
7,201 A.R.COLLEGE OF PHARMACY & G.H.P. INSTITUTE OF PHARMACY, A.R.COLLEGE OF PHARMACY  G.H.P. INSTITUTE OF PHARMACY
8,202 A.R.COLLEGE OF PHARMACY & G.H.P. INSTITUTE OF PHARMACY, A.R.COLLEGE OF PHARMACY  G.H.P. INSTITUTE OF PHARMACY
9,203 AKSHAR-PREET INSTITUTE OF PHARMACY, AKSHARPREET INSTITUTE OF PHARMACY
10,205 ANAND PHARMACY COLLEGE, ANAND PHARMACY COLLEGE
11,206 A-ONE PHARMACY COLLEGE, AONE PHARMACY COLLEGE
12,207 A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH
13,208 ARIHANT SCHOOL OF PHARMACY, ARIHANT SCHOOL OF PHARMACY
14,209 ATMIYA PHARMACY COLLEGE, ATMIYA PHARMACY COLLEGE
15,210 ATMIYA INSTITUTE OF PHARMACY, ATMIYA INSTITUTE OF PHARMACY
16,211 AVANTIKA EDUCATION TRUST B.PHARMACY COLLEGE, AVANTIKA EDUCATION TRUST B.PHARMACY COLLEGE
17,212 B.K.MODI GOVERMENT PHARMACY COLLEGE, B.K.MODI GOVERMENT PHARMACY COLLEGE
18,213 BABARIA INSTITUTE OF PHARMACY, BABARIA INSTITUTE OF PHARMACY
19,214 PARUL INSTITUTE OF PHARMACY & RESEARCH , PARUL INSTITUTE OF PHARMACY  RESEARCH 
20,215 BHAGVAN MAHAVIR PHARMACY COLLEGE, BHAGVAN MAHAVIR PHARMACY COLLEGE
21,216 C.K.PITHAWALA INSTITUTE OF PHARMACETICAL SCIENCE RESEARCH, C.K.PITHAWALA INSTITUTE OF PHARMACETICAL SCIENCE RESEARCH
22,217 C.U. SHAH COLLEGE OF PHARMACY & RESEARCH, C.U. SHAH COLLEGE OF PHARMACY  RESEARCH
23,219 G.H.B. PHARMACY COLLEGE, G.H.B. PHARMACY COLLEGE
24,220 B. PHARMACY COLLEGE, B. PHARMACY COLLEGE
25,223 INDUKAKA IPCOWALA COLLEGE OF PHARMACY, INDUKAKA IPCOWALA COLLEGE OF PHARMACY
26,224 K.B.RAVAL COLLEGE OF PHARMACY, K.B.RAVAL COLLEGE OF PHARMACY
27,225 KALOL INSTITUTE OF PHARMACY, KALOL INSTITUTE OF PHARMACY
28,226 L.B.RAO COLLEGE OF PHARMACEUTICAL EDU. AND RES., L.B.RAO COLLEGE OF PHARMACEUTICAL EDU. AND RES.
29,227 L.J.INSTITUTE OF PHARMACY, L.J.INSTITUTE OF PHARMACY
30,228 L.M.COLLEGE OF PHARMACY, L.M.COLLEGE OF PHARMACY
31,229 M.P.PATEL COLLEGE OF PHARMACY, M.P.PATEL COLLEGE OF PHARMACY
32,231 N.R.VEKARIA INSTITUTE OF PHARMACY, N.R.VEKARIA INSTITUTE OF PHARMACY
33,232 NOOTAN PHARMACY COLLEGE, NOOTAN PHARMACY COLLEGE
34,233 PARUL INSTITUTE OF PHARMACY, PARUL INSTITUTE OF PHARMACY
35,235 PIONEER PHARMACY COLLEGE, PIONEER PHARMACY COLLEGE
36,238 RADHE SCHOOL OF PHARMACY, RADHE SCHOOL OF PHARMACY
37,239 ROFEL, ROFEL
38,240 B. S. PATEL PHARMACY COLLEGE, B. S. PATEL PHARMACY COLLEGE
39,241 DHARMAJ DEGREE PHARMACY COLLEGE, DHARMAJ DEGREE PHARMACY COLLEGE
40,242 SARASWATI INSTITUTE OF PHARMACEUTICAL SCIENCES, SARASWATI INSTITUTE OF PHARMACEUTICAL SCIENCES
41,244 SARDAR PATEL COLLEGE OF PHARMACY COLLEGE, SARDAR PATEL COLLEGE OF PHARMACY COLLEGE
42,245 SARVJANIK PHARMACY COLLEGE, SARVJANIK PHARMACY COLLEGE
43,246 SAT KAIVAL COLLEGE OF PHARMACY, SAT KAIVAL COLLEGE OF PHARMACY
44,247 SHARDA SCHOOL OF PHARMACY, SHARDA SCHOOL OF PHARMACY
45,249 S.S.INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, S.S.INSTITUTE OF PHARMACEUTICAL EDUCATION  RESEARCH
