Category,Criterion,BDE,CSO_OFF,CSO_AM,RM-AM,BSM-AM,DM,Mgr,SM,AVP,DVP
Age,21,10,10,0,0,0,0,0,0,0,0
Age,22,10,10,0,0,0,0,0,0,0,0
Age,23,10,10,0,0,0,0,0,0,0,0
Age,24,10,10,10,0,0,0,0,0,0,0
Age,25,10,0,10,0,0,0,0,0,0,0
Age,26,0,0,10,10,10,,0,0,0,0
Age,27,0,0,0,10,0,10,0,0,0,0
Age,28,0,0,0,10,0,10,0,0,0,0
Age,29,0,0,0,10,0,10,0,0,0,0
Age,30,0,0,0,10,0,0,10,0,0,0
Age,31,0,0,0,10,0,0,10,0,0,0
Age,32,0,0,0,10,0,0,0,10,0,0
Age,33,0,0,0,10,0,0,0,10,0,0
Age,34,0,0,0,10,0,0,0,0,10,10
Age,35,0,0,0,10,0,0,0,0,10,10
Age,36,0,0,0,10,0,0,0,0,10,10
Age,37,0,0,0,10,0,0,0,0,10,10
Age,38,0,0,0,10,0,0,0,0,10,10
Age,39,0,0,0,10,0,0,0,0,10,10
Age,40,0,0,0,10,0,0,0,0,0,0
Experienced,Yes,0,0,10,10,10,10,10,10,10,10
Experienced,No,0,0,0,0,0,0,0,0,0,0
Is_Bank,Yes,0,10,10,10,10,,,,,
Is_Bank,No,0,0,0,0,0,,,,,
Is_sales,Yes,10,0,0,10,10,,,,,
Is_sales,No,0,10,10,0,0,,,,,
Marks_Category,Less than 60%,10,0,0,0,5,,,,,
Marks_Category,Equal & Greater than 60%,0,10,10,10,5,,,,,
Is_Graduate,Yes,10,10,10,10,10,,,,,
Is_Graduate,No,0,0,0,0,0,,,,,
Is_Post_Graduate,Yes,0,0,10,10,10,,,,,
Is_Post_Graduate,No,10,10,0,0,0,,,,,
Post_Graduate_Parttime,No,0,0,0,10,0,,,,,
Post_Graduate_Parttime,Yes,0,10,10,0,0,,,,,
Is Mtech,Yes,0,0,0,0,0,,,,,
Is Mtech,No,10,10,10,10,10,,,,,
Is Btech,Yes,0,5,0,0,0,,,,,
Is Btech,No,10,5,10,10,10,,,,,
Years_Experience,0,10,10,0,0,0,,,,,
Years_Experience,1,10,10,0,0,0,,,,,
Years_Experience,2,0,0,10,10,10,0,0,0,0,0
Years_Experience,3,0,0,10,10,10,10,0,0,0,0
Years_Experience,4,0,0,0,0,0,0,10,0,0,0
Years_Experience,5,0,0,0,0,0,0,0,10,0,0
Years_Experience,6,0,0,0,0,0,0,0,10,0,0
Years_Experience,7,0,0,0,0,0,0,0,0,10,0
Years_Experience,8,0,0,0,0,0,0,0,0,10,0
Years_Experience,9,0,0,0,0,0,0,0,0,0,0
Years_Experience,10,0,0,0,0,0,0,0,0,0,0
