Category,Criterion,BDE,CSO_OFF,CSO_AM,RM-AM,BSM-AM,DM,Mgr,SM,AVP,DVP
Age,21,10,10,10,5,-1000,-1000,-1000,-1000,-1000,-1000
Age,22,10,10,10,5,10,-1000,-1000,-1000,-1000,-1000
Age,23,10,10,10,10,10,10,-1000,-1000,-1000,-1000
Age,24,10,10,10,10,10,10,10,-1000,-1000,-1000
Age,25,10,5,10,10,10,10,10,10,-1000,-1000
Age,26,10,5,10,10,10,10,10,10,-1000,-1000
Age,27,5,-1000,5,5,5,10,10,10,10,-1000
Age,28,5,-1000,5,5,-1000,10,10,10,10,-1000
Age,29,-1000,-1000,-1000,-1000,-1000,10,10,10,10,-1000
Age,30,-1000,-1000,-1000,-1000,-1000,5,10,10,10,10
Age,31,-1000,-1000,-1000,-1000,-1000,-1000,10,10,10,10
Age,32,-1000,-1000,-1000,-1000,-1000,-1000,5,10,10,10
Age,33,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,10,10
Age,34,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,10,10
Age,35,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,10
Age,36,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,10
Age,37,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,10
Age,38,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,10
Age,39,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,10
Age,40,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,5
Age,41,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,42,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,43,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,44,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,45,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,46,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,47,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,48,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,49,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,50,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,51,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,52,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,53,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,54,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,55,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,56,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,57,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Age,58,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Experienced,Yes,0,0,0,0,10,10,10,10,10,10
Experienced,No,10,10,10,10,-1000,-1000,-1000,-1000,-1000,-1000
Is_Bank,Yes,0,0,0,0,10,,,,,
Is_Bank,No,0,0,0,0,0,,,,,
Is_sales,Yes,0,0,0,0,0,,,,,
Is_sales,No,0,0,0,0,0,,,,,
Marks_Category,Less than 60%,10,0,0,0,10,,,,,
Marks_Category,Equal & Greater than 60%,0,10,10,10,10,,,,,
Is_Graduate,Yes,10,10,10,10,10,,,,,
Is_Graduate,No,-1000,-1000,-1000,-1000,-1000,,,,,
Is_Post_Graduate,Yes,-1000,-1000,10,10,10,,,,,
Is_Post_Graduate,No,10,10,-1000,-1000,10,,,,,
Post_Graduate_Parttime,Yes,10,10,-1000,-1000,10,,,,,
Post_Graduate_Parttime,No,10,-1000,10,10,10,,,,,
Is_Mtech,Yes,10,10,-1000,10,10,,,,,
Is_Mtech,No,10,10,10,10,10,,,,,
Is_Btech,Yes,-1000,10,10,10,10,,,,,
Is_Btech,No,10,10,10,10,10,,,,,
Years_Experience,0,10,10,10,10,0,,,,,
Years_Experience,1,10,10,10,10,0,,,,,
Years_Experience,2,0,0,0,0,10,0,0,0,0,0
Years_Experience,3,0,0,0,0,10,10,0,0,0,0
Years_Experience,4,0,0,0,0,0,0,10,0,0,0
Years_Experience,5,0,0,0,0,0,0,0,10,0,0
Years_Experience,6,0,0,0,0,0,0,0,10,0,0
Years_Experience,7,0,0,0,0,0,0,0,0,10,0
Years_Experience,8,0,0,0,0,0,0,0,0,10,0
Years_Experience,9,0,0,0,0,0,0,0,0,10,0
Years_Experience,10,0,0,0,0,0,0,0,0,0,10
